transaction_id,account_id,customer_id,timestamp,channel,mcc,business_type,country,txn_country,device_id,amount,hour,dayofweek,is_weekend,is_fraud,fraud_type
T408068,A200388,C100234,2025-01-01 00:06:11,Card,5942-Books,Contractor,GB,GB,D300580,250.08,0,2,0,0,
T403048,A200089,C100286,2025-01-01 00:11:14,EFT,7399-BusinessServices,E-commerce,IN,IN,D300158,1.0,0,2,0,0,
T401068,A200113,C100384,2025-01-01 01:13:35,Wire,5812-Restaurants,Restaurant,MX,MX,D300757,227.19,1,2,0,0,
T409998,A200020,C100152,2025-01-01 01:49:32,Card,5999-MiscRetail,Retail,PH,PH,D300238,70.29,1,2,0,0,
T407997,A200031,C100369,2025-01-01 01:53:58,ACH,5942-Books,E-commerce,CN,CN,D300334,195.04,1,2,0,0,
T401911,A200267,C100418,2025-01-01 02:14:26,ACH,5995-Pets,Contractor,CA,CA,D300140,1904.72,2,2,0,0,
T400962,A200589,C100105,2025-01-01 04:01:19,ACH,5812-Restaurants,Services,CA,CA,D300266,756.57,4,2,0,0,
T400682,A200699,C100410,2025-01-01 04:03:50,Card,4899-Utilities,Wholesale,DE,DE,D300009,1693.45,4,2,0,0,
T404691,A200599,C100161,2025-01-01 04:14:12,EFT,4111-Transport,E-commerce,DE,DE,D300036,242.5,4,2,0,0,
T410950,A200102,C100225,2025-01-01 04:49:51,EFT,5411-Grocery,Retail,CA,CA,D300049,101.25,4,2,0,0,
T406765,A200155,C100389,2025-01-01 05:17:01,EFT,4899-Utilities,Wholesale,CN,CN,D300294,1479.93,5,2,0,0,
T411251,A200436,C100039,2025-01-01 05:34:53,Card,5812-Restaurants,Wholesale,US,US,D300554,2178.76,5,2,0,0,
T408558,A200647,C100025,2025-01-01 05:54:06,ACH,5732-Electronics,Non-profit,CN,CN,D300289,353.43,5,2,0,0,
T406938,A200220,C100228,2025-01-01 06:34:34,Card,5814-FastFood,E-commerce,CA,CA,D300318,1.0,6,2,0,0,
T406662,A200275,C100457,2025-01-01 07:27:42,ACH,5942-Books,Non-profit,CA,CA,D300261,462.04,7,2,0,0,
T409219,A200207,C100306,2025-01-01 07:54:07,EFT,4111-Transport,Contractor,GB,CN,D300522,1088.11,7,2,0,0,
T406263,A200448,C100423,2025-01-01 09:02:04,Card,7399-BusinessServices,Services,DE,DE,D300630,379.03,9,2,0,0,
T411432,A200039,C100048,2025-01-01 09:49:00,Card,4899-Utilities,SaaS,CN,CN,D300292,254.76,9,2,0,0,
T407829,A200565,C100281,2025-01-01 10:02:34,EFT,4111-Transport,SaaS,CN,CA,D300233,300.11,10,2,0,0,
T404028,A200001,C100116,2025-01-01 10:05:16,Interac,5995-Pets,Services,PH,PH,D300275,497.28,10,2,0,0,
T408109,A200426,C100411,2025-01-01 10:11:09,Card,4899-Utilities,Wholesale,GB,GB,D300320,2842.0,10,2,0,0,
T409824,A200677,C100066,2025-01-01 11:02:07,EFT,5812-Restaurants,Restaurant,IN,IN,D300338,52.87,11,2,0,0,
T408218,A200487,C100383,2025-01-01 12:18:01,Interac,5995-Pets,E-commerce,DE,DE,D300648,238.15,12,2,0,0,
T405918,A200562,C100338,2025-01-01 12:38:07,Interac,5812-Restaurants,Wholesale,US,US,D300519,1.0,12,2,0,0,
T406775,A200649,C100052,2025-01-01 12:57:03,EFT,7399-BusinessServices,Non-profit,CA,CA,D300280,1.0,12,2,0,0,
T410446,A200049,C100301,2025-01-01 13:50:53,RTP,4111-Transport,Services,US,US,D300284,1607.34,13,2,0,0,
T406183,A200035,C100295,2025-01-01 14:04:49,EFT,5814-FastFood,SaaS,DE,ES,D300327,413.77,14,2,0,0,
T401071,A200119,C100352,2025-01-01 14:20:26,EFT,5411-Grocery,Contractor,US,US,D300090,1020.43,14,2,0,0,
T405038,A200481,C100060,2025-01-01 15:12:17,EFT,4899-Utilities,Restaurant,GB,GB,D300218,8.79,15,2,0,0,
T409038,A200385,C100498,2025-01-01 15:36:41,Interac,5732-Electronics,Non-profit,IN,IN,D300341,409.81,15,2,0,0,
T404775,A200205,C100307,2025-01-01 16:00:58,EFT,5942-Books,E-commerce,CN,CN,D300359,1.0,16,2,0,0,
T400842,A200137,C100445,2025-01-01 16:48:08,ACH,5999-MiscRetail,Restaurant,CA,CA,D300513,1.0,16,2,0,0,
T410220,A200113,C100384,2025-01-01 16:51:36,Interac,5814-FastFood,Restaurant,MX,MX,D300757,38.63,16,2,0,0,
T409425,A200679,C100228,2025-01-01 17:19:18,EFT,5411-Grocery,E-commerce,CA,CA,D300286,127.11,17,2,0,0,
T407743,A200052,C100289,2025-01-01 17:23:56,Wire,4899-Utilities,E-commerce,NG,NG,D300341,1332.75,17,2,0,0,
T407582,A200042,C100069,2025-01-01 18:00:21,Interac,5411-Grocery,Restaurant,PK,GB,D300796,40.64,18,2,0,0,
T411590,A200427,C100152,2025-01-01 18:57:36,Interac,5411-Grocery,Retail,PH,PH,D300238,73.35,18,2,0,0,
T403712,A200020,C100152,2025-01-01 19:09:07,EFT,4111-Transport,Retail,PH,PH,D300238,24.79,19,2,0,0,
T404573,A200429,C100431,2025-01-01 19:52:50,Card,5732-Electronics,Contractor,US,US,D300001,485.5,19,2,0,0,
T411070,A200492,C100021,2025-01-01 20:31:12,ACH,4899-Utilities,Retail,US,US,D300225,27.6,20,2,0,0,
T402010,A200052,C100289,2025-01-01 20:46:29,Wire,5812-Restaurants,E-commerce,NG,NG,D300208,454.17,20,2,0,0,
T405002,A200430,C100196,2025-01-01 21:03:13,ACH,4111-Transport,SaaS,PH,PH,D300390,523.62,21,2,0,0,
T405769,A200546,C100165,2025-01-01 21:41:40,Interac,5999-MiscRetail,E-commerce,PH,PH,D300419,1.0,21,2,0,0,
T410395,A200402,C100080,2025-01-01 22:19:21,Card,5732-Electronics,Services,DE,DE,D300485,89.11,22,2,0,0,
T411616,A200340,C100007,2025-01-01 22:23:23,EFT,4899-Utilities,E-commerce,ES,ES,D300455,184.55,22,2,0,0,
T407630,A200399,C100466,2025-01-01 22:50:46,Interac,7399-BusinessServices,Services,DE,DE,D300317,61.85,22,2,0,0,
T400038,A200016,C100393,2025-01-01 23:00:03,Wire,7399-BusinessServices,E-commerce,PH,PH,D300512,1087.68,23,2,0,0,
T408786,A200665,C100423,2025-01-01 23:04:44,ACH,7399-BusinessServices,Services,DE,DE,D300358,687.0,23,2,0,0,
T401760,A200343,C100007,2025-01-01 23:08:09,Interac,5999-MiscRetail,E-commerce,ES,ES,D300415,44.3,23,2,0,0,
T402629,A200112,C100495,2025-01-01 23:26:00,EFT,7399-BusinessServices,Restaurant,CA,CA,D300177,13.43,23,2,0,0,
T407151,A200401,C100247,2025-01-02 00:22:09,Wire,5411-Grocery,Non-profit,PK,PK,D300318,309.56,0,3,0,0,
T400630,A200427,C100152,2025-01-02 01:01:42,Card,7399-BusinessServices,Retail,PH,PH,D300576,83.07,1,3,0,0,
T407077,A200475,C100360,2025-01-02 01:37:30,Interac,5995-Pets,Non-profit,US,US,D300700,361.49,1,3,0,0,
